PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,MiddleName,Count,Family_Group,Family_Survival_Rate,TicketNumeric,SurvivalScore
892,3,0,0,34.5,0,0,330911,-0.497213264973664,,2,Mr,0.0,152.0,0.5,0.5270746303107058,-0.6974408024796472
893,3,2,1,47.0,1,0,363272,-0.5120448863147627,,0,Mrs,1.0,221.0,1.0,0.6260143364190405,0.9863852625984341
894,2,0,0,62.0,0,0,240276,-0.4639744782657966,,2,Mr,0.0,73.0,0.5,0.24996946473705495,-0.3245489344655277
895,3,0,0,27.0,0,0,315154,-0.482308308312379,,0,Mr,0.0,147.0,0.5,0.47889957548702816,-0.6873373584690332
896,3,2,1,22.0,1,1,3101298,-0.4174691532695875,,0,Mrs,2.0,138.0,1.0,8.997186047953887,0.12927161979735335
897,3,0,0,14.0,0,0,7538,-0.47224706011608375,,0,Mr,0.0,260.0,0.5,-0.4615978329435358,-0.57155990748044
898,3,1,1,30.0,0,0,330972,-0.5007905976656801,,2,Miss,0.0,158.0,1.0,0.5272611301738932,0.6714993910560857
899,2,0,0,26.0,1,1,248738,-0.11853829019299361,,0,Mr,2.0,84.0,0.5,0.2758409703483997,-0.1074770205977762
900,3,2,1,18.0,0,0,2657,-0.5079452630497123,,1,Mrs,0.0,100.0,1.0,-0.47652087937333654,1.119878379240384
901,3,0,0,21.0,2,0,A,-0.20528860797438364,,0,Mr,2.0,267.0,0.5,-0.48464432423381193,-0.4913763774045138
902,3,0,0,,0,0,349220,-0.49602201318722267,,0,Mr,0.0,195.0,0.5,0.5830521056401918,-0.7038126365011175
903,1,0,0,46.0,0,0,694,-0.17219828057323486,,0,Mr,0.0,258.0,0.5,-0.48252250611820413,0.17796519936794641
904,1,2,1,23.0,1,0,21228,0.8342252463360718,B45,0,Mrs,3.0,52.0,0.75,-0.4197423718445864,1.9122944060588112
905,2,0,0,63.0,1,0,24065,-0.17219828057323486,,0,Mr,3.0,74.0,0.75,-0.41106859951896774,0.08939073057603797
906,1,2,1,47.0,1,0,WEP,0.45696510663509365,E31,0,Mrs,1.0,340.0,1.0,-0.48464432423381193,2.060677199832235
907,2,2,1,24.0,1,0,SCPARIS,-0.14141891009112845,,1,Mrs,1.0,323.0,1.0,-0.48464432423381193,1.5571458349816303
908,2,0,0,35.0,0,0,233734,-0.41635123680333247,,2,Mr,0.0,60.0,0.5,0.2299681187539047,-0.308338032923435
909,3,0,0,21.0,0,0,2692,-0.5080203870362445,,1,Mr,0.0,119.0,0.5,-0.4764138712551142,-0.5801562476898972
910,3,1,1,27.0,1,0,STONO,-0.4954997226141883,,0,Miss,3.0,335.0,0.6666666666666666,-0.48464432423381193,0.4611290660166096
911,3,2,1,45.0,0,0,2696,-0.5080203870362445,,1,Mrs,0.0,120.0,1.0,-0.47640164175588884,1.1198422847701959
912,1,0,0,55.0,1,0,PC,0.42521627899345094,,1,Mr,1.0,299.0,0.5,-0.48464432423381193,0.35147003981615815
913,3,3,0,9.0,0,1,C,-0.5805364980361026,,0,Master,1.0,270.0,0.5,-0.48464432423381193,0.5098017344775877
914,1,2,1,,0,0,PC,-0.07054300613055985,,0,Mrs,0.0,295.0,1.0,-0.48464432423381193,1.9076998471301951
915,1,0,0,21.0,0,1,PC,0.46061756331364206,,1,Mr,1.0,300.0,0.5,-0.48464432423381193,0.4817364122690136
916,1,2,1,48.0,1,3,PC,4.0557617948032725,B57 B59 B63 B66,1,Mrs,16.0,312.0,0.8,-0.48464432423381193,3.2643282394010065
917,3,0,0,50.0,1,0,A,-0.3778949103641596,,0,Mr,7.0,266.0,0.5,-0.48464432423381193,-0.5414322050975489
918,1,1,1,22.0,0,1,113509,0.4713495613896903,B36,1,Miss,1.0,14.0,1.0,-0.13760476733968133,1.813203944883772
919,3,0,0,22.5,0,0,2698,-0.5080203870362445,,1,Mr,0.0,121.0,0.5,-0.47639552700627613,-0.5801584489997578
920,1,0,0,41.0,0,0,113054,-0.09170829500287299,A21,0,Mr,0.0,11.0,0.5,-0.13899587287657117,0.16008409919435534
921,3,0,0,,2,0,2662,-0.24948297605155026,,1,Mr,5.0,104.0,0.5,-0.47650559249930474,-0.5051693919550331
922,2,0,0,50.0,1,0,SCAH,-0.17219828057323486,,0,Mr,3.0,318.0,0.75,-0.48464432423381193,0.0982198175418193
923,2,0,0,24.0,2,0,CA,-0.07382163154279257,,0,Mr,6.0,282.0,0.5,-0.48464432423381193,-0.1232509542393525
924,3,2,1,33.0,1,2,CA,-0.2692334298441711,,0,Mrs,7.0,279.0,1.0,-0.48464432423381193,1.4300796242532479
925,3,2,1,,1,2,WC,-0.2178092723964399,,0,Mrs,7.0,338.0,0.75,-0.48464432423381193,1.19499262991309
926,1,0,0,30.0,1,0,13236,0.3957032842843183,C78,1,Mr,3.0,34.0,0.75,-0.44417691129694603,0.5880551817980858
927,3,0,0,18.5,0,0,2682,-0.5079452630497123,,1,Mr,0.0,115.0,0.5,-0.47644444500317773,-0.5801307928840354
928,3,1,1,,0,0,342712,-0.4932638896816782,,0,Miss,0.0,166.0,1.0,0.5631547104004575,0.6693749067442585
929,3,1,1,21.0,0,0,315087,-0.482308308312379,,0,Miss,0.0,141.0,1.0,0.4786947313750026,0.6826872228244099
930,3,0,0,25.0,0,0,345768,-0.46732822766456167,,0,Mr,0.0,172.0,0.5,0.5724980478086671,-0.694224951759763
931,3,0,0,,0,0,1601,0.37326983097268546,,0,Mr,0.0,39.0,0.5,-0.4797494671688435,-0.32418181295766
932,3,0,0,39.0,0,1,349256,-0.39727153289046474,,1,Mr,1.0,204.0,0.5,0.5831621711332204,-0.5551882050742212
933,1,0,0,,0,0,113778,-0.1623606156701906,D34,0,Mr,0.0,16.0,0.5,-0.13678233351677282,0.13932930147765743
934,3,0,0,41.0,0,0,SOTONOQ,-0.4968412223736943,,0,Mr,0.0,332.0,0.5,-0.48464432423381193,-0.5759266355803139
935,2,2,1,30.0,0,0,237249,-0.4047249055542802,,0,Mrs,0.0,65.0,1.0,0.24071479119822953,1.3937440024454713
936,1,2,1,45.0,1,0,11753,0.3027677582784325,D19,0,Mrs,1.0,24.0,1.0,-0.448710998134765,2.0116479696769174
937,3,0,0,25.0,0,0,STONO,-0.4954997226141883,,0,Mr,3.0,335.0,0.6666666666666666,-0.48464432423381193,-0.40887093398339036
938,1,0,0,45.0,0,0,PC,-0.10601762577093733,A9,1,Mr,1.0,293.0,0.5,-0.48464432423381193,0.19741220743448556
939,3,0,0,,0,0,370374,-0.4986298887197024,,2,Mr,0.0,242.0,0.5,0.6477278122937474,-0.7123300052039634
940,1,2,1,60.0,0,0,11813,0.7273524321620913,D15,1,Mrs,0.0,30.0,1.0,-0.44852755564638397,2.1347555120045727
941,3,2,1,36.0,0,2,CA,-0.35285358152004703,,0,Mrs,2.0,277.0,1.0,-0.48464432423381193,1.405829780267244
942,1,0,0,24.0,1,0,13695,0.4359482770694992,C31,0,Mr,3.0,37.0,0.75,-0.4427735762608308,0.5995578295014544
943,2,0,0,27.0,0,0,SCPARIS,-0.3683559527408987,,1,Mr,0.0,322.0,0.5,-0.48464432423381193,-0.20866590738680324
944,2,1,1,20.0,2,1,29105,-0.22585827095347608,,0,Miss,3.0,131.0,1.0,-0.3956594304949571,1.311980233082887
945,1,1,1,28.0,3,2,19950,4.066940959465823,C23 C25 C27,0,Miss,11.0,49.0,1.0,-0.42364969684710335,3.010250841866741
946,2,0,0,,0,0,SCA,-0.35859162315804083,,1,Mr,0.0,317.0,0.5,-0.48464432423381193,-0.20583425180777448
947,3,3,0,10.0,4,1,382652,-0.11630245726048355,,2,Master,5.0,248.0,0.5,0.6852662601661288,0.5040403361745243
948,3,0,0,35.0,0,0,349230,-0.49602201318722267,,0,Mr,0.0,198.0,0.5,0.5830826793882553,-0.703816305350885
949,3,0,0,25.0,0,0,348122,-0.5004185550657104,F G63,0,Mr,0.0,191.0,0.5,0.5796951081028181,-0.7046847939413943
950,3,0,0,,1,0,386525,-0.34927624882803093,,0,Mr,1.0,252.0,0.5,0.6971074727911274,-0.6749430088950643
951,1,1,1,36.0,0,0,PC,4.0557617948032725,B61,1,Miss,16.0,312.0,0.8,-0.48464432423381193,2.5743282394010065
952,3,0,0,17.0,0,0,349232,-0.49602201318722267,,0,Mr,0.0,199.0,0.5,0.5830887941378681,-0.7038170391208387
953,2,0,0,32.0,0,0,237216,-0.39578157382424,,0,Mr,0.0,64.0,0.5,0.24061389782961995,-0.30365032414858395
954,3,0,0,18.0,0,0,347090,-0.4986298887197024,,0,Mr,0.0,185.0,0.5,0.5765398973026635,-0.7037874554050334
955,3,1,1,22.0,0,0,334914,-0.4990770553062044,,2,Miss,0.0,159.0,1.0,0.53931330166053,0.6705500577619372
956,1,3,0,13.0,2,2,PC,4.0557617948032725,B57 B59 B63 B66,1,Master,16.0,312.0,0.8,-0.48464432423381193,2.9343282394010064
957,2,2,1,,0,0,FCC,-0.26163159787363693,,0,Mrs,2.0,289.0,1.0,-0.48464432423381193,1.5222841555247029
958,3,1,1,18.0,0,0,330963,-0.49631893180066,,2,Miss,0.0,155.0,1.0,0.527233613800636,0.6727994761217324
959,1,0,0,47.0,0,0,113796,0.1211430001720839,,0,Mr,0.0,22.0,0.5,-0.1367273007702585,0.22153874614233532
960,1,0,0,31.0,0,0,2543,-0.12681087204328076,C53,1,Mr,0.0,89.0,0.5,-0.47686942010126054,0.19044917751959983
961,1,2,1,60.0,1,4,19950,4.066940959465823,C23 C25 C27,0,Mrs,11.0,49.0,1.0,-0.42364969684710335,3.580250841866741
962,3,1,1,24.0,0,0,382653,-0.4986298887197024,,2,Miss,0.0,249.0,1.0,0.6852693175409351,0.6531650141663743
963,3,0,0,21.0,0,0,349211,-0.49602201318722267,,0,Mr,0.0,194.0,0.5,0.5830245892669347,-0.7038093345363265
964,3,1,1,29.0,0,0,3101297,-0.4954997226141883,,0,Miss,0.0,137.0,1.0,8.99718299057908,-0.343356878427604
965,1,0,0,28.5,0,0,PC,-0.14141891009112845,D43,1,Mr,1.0,292.0,0.75,-0.48464432423381193,0.4371458349816302
966,1,1,1,35.0,0,0,113503,3.145777791271682,C130,1,Miss,7.0,13.0,0.75,-0.13762311158851942,2.21879033285941
967,1,0,0,32.5,0,0,113503,3.145777791271682,C132,1,Mr,7.0,13.0,0.75,-0.13762311158851942,1.34879033285941
968,3,0,0,,0,0,359306,-0.4932638896816782,,0,Mr,0.0,219.0,0.5,0.6138887879370512,-0.7067131825601327
969,1,2,1,55.0,2,0,11770,-0.17756427961125898,C101,0,Mrs,2.0,28.0,1.0,-0.448659022763057,1.8723454416443017
970,2,0,0,30.0,0,0,248744,-0.4047249055542802,,0,Mr,0.0,85.0,0.5,0.27585931459723784,-0.3104733403624098
971,3,1,1,24.0,0,0,368702,-0.4986298887197024,,2,Miss,0.0,236.0,1.0,0.642615881617528,0.6582834264771831
972,3,3,0,6.0,1,1,2678,-0.36455503675563167,,1,Master,2.0,111.0,0.5,-0.47645667450240314,0.5714538402811552
973,1,0,0,67.0,1,0,PC,3.3296383823105407,C55 C57,0,Mr,4.0,309.0,0.8333333333333333,-0.48464432423381193,1.5270857831114473
974,1,0,0,49.0,0,0,19924,-0.17219828057323486,,0,Mr,0.0,47.0,0.5,-0.4237291885920685,0.1709100012648101
975,3,0,0,,0,0,349238,-0.49602201318722267,,0,Mr,0.0,201.0,0.5,0.5831071383867061,-0.7038192404306991
976,2,0,0,,0,0,240261,-0.4457157722057465,,2,Mr,0.0,72.0,0.5,0.24992360411495967,-0.31924840643346175
977,3,0,0,,1,0,2660,-0.3787141195506313,,1,Mr,3.0,102.0,0.75,-0.47651170724891745,-0.2926456897998131
978,3,1,1,27.0,0,0,330844,-0.49631893180066,,2,Miss,0.0,150.0,1.0,0.5268697861986802,0.6728431354339671
979,3,1,1,18.0,0,0,A,-0.4932638896816782,,0,Miss,7.0,265.0,0.6666666666666666,-0.48464432423381193,0.4617774575670375
980,3,11,1,,0,0,364856,-0.4986298887197024,,2,Ms,0.0,224.0,1.0,0.6308572181123009,3.959694466097811
981,2,3,0,2.0,1,1,29103,-0.22585827095347608,,0,Master,5.0,130.0,0.75,-0.3956655452445698,1.1819809668528403
982,3,2,1,22.0,1,0,347072,-0.38862690844020786,,0,Mrs,3.0,179.0,0.75,0.5764848645561492,0.778120012805602
983,3,0,0,,0,0,345498,-0.4981827221332004,,0,Mr,0.0,168.0,0.5,0.5716725566109523,-0.7030736962119424
984,1,2,1,27.0,1,2,FC,0.2928549693888559,B71,0,Mrs,3.0,287.0,1.0,-0.48464432423381193,2.2530852600308258
985,3,0,0,,0,0,376563,-0.4932638896816782,,0,Mr,0.0,245.0,0.5,0.6666499049702557,-0.7130445166041173
986,1,0,0,25.0,0,0,13905,-0.17219828057323486,,1,Mr,0.0,38.0,0.5,-0.442131527551497,0.17311828193994155
987,3,0,0,25.0,0,0,350033,-0.4978106795332307,,0,Mr,0.0,209.0,0.5,0.5855377513577554,-0.7046296272275674
988,1,2,1,76.0,1,0,19877,0.7731118832920149,C46,0,Mrs,1.0,46.0,1.0,-0.423872885207967,2.1450671923796403
989,3,0,0,29.0,0,0,STONO,-0.4954997226141883,,0,Mr,3.0,335.0,0.6666666666666666,-0.48464432423381193,-0.40887093398339036
990,3,1,1,20.0,0,0,347471,-0.496766098387162,,0,Miss,0.0,190.0,1.0,0.5777047571038834,0.6666132606152572
991,3,0,0,33.0,0,0,A,-0.4932638896816782,,0,Mr,7.0,265.0,0.6666666666666666,-0.48464432423381193,-0.4082225424329625
992,1,2,1,43.0,1,0,11778,0.3544154990194146,C116,1,Mrs,3.0,29.0,0.75,-0.44863456376460625,1.776616642367383
993,2,0,0,27.0,1,0,228414,-0.17219828057323486,,0,Mr,1.0,57.0,0.5,0.21370288478411573,-0.23558184754033196
994,3,0,0,,0,0,365235,-0.4986298887197024,,2,Mr,0.0,227.0,0.5,0.6320159631639081,-0.7104445833083828
995,3,0,0,26.0,0,0,347070,-0.4981827221332004,,0,Mr,0.0,178.0,0.5,0.5764787498065366,-0.7036504393954124
996,3,2,1,16.0,1,1,2625,-0.48491618384485874,,1,Mrs,2.0,92.0,1.0,-0.47661871536713973,1.2465685525290477
997,3,0,0,28.0,0,0,C,-0.2343544360970143,,0,Mr,1.0,271.0,0.5,-0.48464432423381193,-0.4998054675600766
998,3,0,0,21.0,0,0,330920,-0.4973635129467287,,2,Mr,0.0,153.0,0.5,0.5271021466839629,-0.6974876763566269
999,3,0,0,,0,0,383162,-0.4986298887197024,,2,Mr,0.0,251.0,0.5,0.686825521317368,-0.7170217302867978
1000,3,0,0,,0,0,3410,-0.481413975139375,,0,Mr,0.0,163.0,0.5,-0.47421867614415397,-0.5727038116531202
1001,2,0,0,18.5,0,0,248734,-0.4047249055542802,F,0,Mr,0.0,83.0,0.5,0.2758287408491743,-0.31046967151264226
1002,2,0,0,41.0,0,0,237734,-0.3681323694476477,,1,Mr,0.0,68.0,0.5,0.24219761797930991,-0.295822101297335
1003,3,1,1,,0,0,330968,-0.49810759814666805,,2,Miss,0.0,156.0,1.0,0.5272489006746678,0.6722789284565063
1004,1,1,1,36.0,0,0,PC,-0.07061634145074613,A29,1,Miss,0.0,294.0,1.0,-0.48464432423381193,1.577678579887341
1005,3,1,1,18.5,0,0,329944,-0.5069775945565219,,2,Miss,0.0,149.0,1.0,0.524118148872964,0.6700823197138531
1006,1,2,1,63.0,1,0,PC,3.3296383823105407,C55 C57,0,Mrs,4.0,309.0,0.8333333333333333,-0.48464432423381193,2.7270857831114474
1007,3,0,0,18.0,1,0,2680,-0.3787141195506313,,1,Mr,1.0,113.0,0.5,-0.47645055975279044,-0.5426530274993482
1008,3,0,0,,0,0,2681,-0.5221061345110579,,1,Mr,0.0,114.0,0.5,-0.4764475023779841,-0.5842370787228488
1009,3,1,1,1.0,1,1,PP,-0.3385442507519827,G6,0,Miss,2.0,314.0,1.0,-0.48464432423381193,0.9599794861899825
1010,1,0,0,36.0,0,0,13050,0.7085714355290067,C6,1,Mr,1.0,33.0,0.5,-0.44474558301092737,0.4288551862647232
1011,2,2,1,29.0,1,0,SCAH,-0.17219828057323486,,0,Mrs,3.0,318.0,0.75,-0.48464432423381193,1.2982198175418194
1012,2,1,1,12.0,0,0,CA,-0.3555365810390591,,0,Miss,0.0,276.0,1.0,-0.48464432423381193,1.1650517104067304
1013,3,0,0,,1,0,367227,-0.4986298887197024,,2,Mr,1.0,232.0,0.5,0.6381062537781599,-0.7111754181820928
1014,1,2,1,35.0,1,0,13236,0.3957032842843183,C28,1,Mrs,3.0,34.0,0.75,-0.44417691129694603,1.7880551817980859
1015,3,0,0,28.0,0,0,392095,-0.5075732204497426,,0,Mr,0.0,254.0,0.5,0.7141370504625042,-0.7228926799859259
1016,3,0,0,,0,0,368783,-0.4986298887197024,,2,Mr,0.0,237.0,0.5,0.6428635289768425,-0.7117462912059349
1017,3,1,1,17.0,0,1,371362,-0.34927624882803093,,0,Miss,1.0,244.0,1.0,0.6507484986024225,0.8206200680075805
1018,3,0,0,22.0,0,0,350045,-0.4978106795332307,,0,Mr,0.0,210.0,0.5,0.5855744398554317,-0.7046340298472886
1019,3,1,1,,2,0,367226,-0.22138660508845598,,2,Miss,2.0,231.0,1.0,0.6381031964033534,0.7392255009559454
1020,2,0,0,42.0,0,0,211535,-0.4047249055542802,,0,Mr,0.0,51.0,0.5,0.162097455427712,-0.29682191726206675
1021,3,0,0,24.0,0,0,342441,-0.4932638896816782,,0,Mr,0.0,164.0,0.5,0.5623261618279364,-0.700525667427039
1022,3,0,0,32.0,0,0,STONOQ,-0.4932638896816782,,0,Mr,0.0,336.0,0.5,-0.48464432423381193,-0.5748892090996292
1023,1,8,0,53.0,0,0,113780,-0.1274816219230338,C51,1,Col,0.0,17.0,0.5,-0.13677621876716012,2.78944347589438
1024,3,2,1,,0,4,4133,-0.18173723819649573,,0,Mrs,4.0,255.0,1.0,-0.472008194159162,1.6939371842221158
1025,3,0,0,,1,0,2621,-0.5221061345110579,,1,Mr,1.0,90.0,0.5,-0.47663094486636515,-0.5842150656242431
1026,3,0,0,43.0,0,0,349226,-0.49602201318722267,,0,Mr,0.0,196.0,0.5,0.5830704498890299,-0.7038148378109781
1027,3,0,0,24.0,0,0,350409,-0.496766098387162,,0,Mr,0.0,216.0,0.5,0.5866873242849435,-0.7044646474464702
1028,3,0,0,26.5,0,0,2656,-0.5080203870362445,,1,Mr,0.0,99.0,0.5,-0.47652393674814286,-0.5801430398307337
1029,2,0,0,26.0,0,0,248659,-0.4047249055542802,,0,Mr,0.0,81.0,0.5,0.27559943773869794,-0.310442155139385
